date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:48	20467/20467	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:08:04%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/register.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/register.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:48	19574/19574	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:06:24%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/login.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/login.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:48	60191/60191	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:05:45%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-default.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-default.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:48	1767/1767	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Nov%202021%2010:19:25%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/images/logo.png	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/images/logo.png	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:49	49494/49494	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:05:40%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-3.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-3.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:50	30679/30679	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:06:16%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/profile.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/profile.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:50	25819/25819	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:06:12%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/profile-2.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/profile-2.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:51	26582/26582	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:08:17%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/stories.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/stories.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:51	27575/27575	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2005:07:39%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/stories-2.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/stories-2.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
15:19:52	42137/42137	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2004:55:59%20GMT	https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/about-1.html	C:/Users/uiser/Downloads/cupid-love/themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/about-1.html	(from https://themes.potenzaglobalsolutions.com/html/cupid-love-dating-website-html5-template/cupid-love/index-2.html)
